
#>insertionsort 10 case 1
1.5e-05,0,0,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,0,0,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,1e-06,0,0,0,1e-06,0,0,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,1e-06,0,0,1e-06,0,0,0,1e-06,1e-06,0,0,1e-06,0,0,0,1e-06,0,0,1e-06,1e-06,0,0,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,0,1e-06,1e-06,1e-06,0,0,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,0,1e-06,0,0,1e-06,
#>insertionsort 10 case 2
1e-06,1e-06,2.2e-05,1e-06,0,1e-06,0,1e-06,1.5e-05,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,0,0,1e-06,0,1e-06,1e-06,0,1e-06,1e-06,0,1e-06,1e-06,0,1e-06,1e-06,0,1e-06,1e-06,0,1e-06,1e-06,0,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,1e-06,0,0,1e-06,1e-06,0,1e-06,0,0,1e-06,1e-06,0,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,1e-06,0,0,1e-06,1e-06,0,1e-06,0,0,1e-06,1e-06,0,1e-06,0,0,1e-06,0,0,1e-06,1e-06,0,1e-06,1e-06,0,
#>insertionsort 10 case 3
0,1e-06,1e-06,1e-06,2e-05,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0,0,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0,0,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0,0,0,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,
#>insertionsort 10 case 4
1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1.6e-05,1e-06,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,1.4e-05,1e-06,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,1e-06,0,4e-06,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,0,0,0,0,1e-06,0,0,0,1e-06,1e-06,1e-06,0,0,0,1e-06,1e-06,1e-06,1e-06,0,0,
#>insertionsort 1000 case 1
5e-06,5e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,5e-06,4e-06,4e-06,4e-06,4e-06,5e-06,4e-06,4e-06,4e-06,4e-06,5e-06,5e-06,4e-06,4e-06,4e-06,5e-06,4e-06,4e-06,4e-06,4e-06,5e-06,4e-06,4e-06,5e-06,5e-06,5e-06,4e-06,5e-06,4e-06,4e-06,4e-06,4e-06,5e-06,4e-06,4e-06,4e-06,5e-06,5e-06,5e-06,4e-06,4e-06,4e-06,4e-06,4e-06,4e-06,5e-06,5e-06,4e-06,4e-06,4e-06,4e-06,5e-06,5e-06,4e-06,5e-06,4e-06,5e-06,5e-06,4e-06,5e-06,5e-06,5e-06,4e-06,4e-06,4e-06,4e-06,5e-06,5e-06,4e-06,4e-06,4e-06,5e-06,4e-06,4e-06,5e-06,4e-06,4e-06,4e-06,4e-06,4e-06,5e-06,4e-06,5e-06,4e-06,4e-06,5e-06,4e-06,4e-06,4e-06,5e-06,
#>insertionsort 1000 case 2
